Sieve Aperture [microns],Feed [mass fraction],Accepts [mass fraction],Rejects [mass fraction]
Pan,0.000,0.000,0.000
43.0,0.000,0.000,0.000
53.0,0.000,0.000,0.000
61.0,0.000,0.000,0.000
74.0,0.000,0.000,0.000
89.0,0.000,0.000,0.000
104.0,0.000,0.000,0.000
125.0,0.000,0.000,0.000
147.0,0.000,0.000,0.000
175.0,0.000,0.000,0.000
208.0,0.000,0.000,0.000
246.0,0.000,0.000,0.000
295.0,0.000,0.000,0.000
351.0,0.000,0.001,0.000
417.0,0.001,0.005,0.000
495.0,0.002,0.005,0.001
589.0,0.004,0.013,0.001
701.0,0.007,0.026,0.002
833.0,0.020,0.077,0.005
991.0,0.035,0.129,0.011
1168.0,0.077,0.068,0.079
1397.0,0.141,0.113,0.148
1651.0,0.241,0.165,0.260
1981.0,0.235,0.195,0.245
2362.0,0.175,0.167,0.178
2794.0,0.049,0.036,0.053
3327.0,0.013,0.000,0.016
3962.0,0.000,0.000,0.000
4699.0,0.000,0.000,0.000
