Bulk Concentration Protein1 [mg/mL],Adsorbed Concentration Protein1 [mg/mL],Bulk Concentration Protein2 [mg/mL],Adsorbed Concentration Protein2 [mg/mL]
0.000,0.103,0.001,0.106
0.005,7.409,0.038,3.419
0.011,13.541,0.074,6.496
0.016,19.179,0.111,10.798
0.021,26.138,0.147,12.748
0.027,31.842,0.184,15.634
0.033,43.933,0.221,20.404
0.039,48.077,0.258,21.846
0.046,54.275,0.297,25.928
0.055,65.461,0.336,32.901
0.064,75.169,0.378,37.418
0.076,68.535,0.421,34.739
0.089,88.317,0.467,37.922
0.106,92.394,0.517,41.990
0.125,88.624,0.572,51.943
0.149,104.054,0.631,46.861
0.179,116.488,0.697,51.092
0.215,117.332,0.770,59.753
0.259,116.723,0.851,59.245
0.313,140.899,0.943,61.192
0.380,132.972,1.046,74.402
0.463,140.107,1.162,65.381
0.567,146.910,1.295,80.370
0.696,169.314,1.446,81.340
0.857,169.645,1.618,78.220
1.058,175.187,1.815,83.514
1.311,194.813,2.041,95.515
1.628,188.761,2.301,86.897
2.028,200.241,2.601,90.614
2.531,184.612,2.947,94.213
